gene,coordinates,chromosome,strand,paralog_group
YER163C,"[(503084, 503782)]",chrV,-,YER163C
YER164W,"[(505392, 509798)]",chrV,+,YPL082C
YER165C-A,"[(512627, 512983)]",chrV,-,YER165C-A
YER165W,"[(510373, 512106)]",chrV,+,YER165W
YER166W,"[(512744, 517459)]",chrV,+,YIL048W
YER167W,"[(518216, 520771)]",chrV,+,YER167W
YER168C,"[(521029, 522669)]",chrV,-,YER168C
YER169W,"[(523369, 525759)]",chrV,+,YER169W
YER170W,"[(525974, 526651)]",chrV,+,YER170W
YER171W,"[(527082, 529418)]",chrV,+,YPL008W
YER172C,"[(529530, 536021)]",chrV,-,YGR271W
YER172C-A,"[(536275, 536655)]",chrV,-,YER172C-A
YER173W,"[(536300, 538279)]",chrV,+,YER173W
YER174C,"[(538434, 539168)]",chrV,-,YER174C
YER175C,"[(539464, 540363)]",chrV,-,YER175C
YER175W-A,"[(540650, 540814)]",chrV,+,YER175W-A
YER176W,"[(541690, 545055)]",chrV,+,YER176W
YER177W,"[(545611, 546414)]",chrV,+,YDR099W
YER178W,"[(546817, 548079)]",chrV,+,YER178W
YER179W,"[(548421, 548552), (548645, 549517)]",chrV,+,YER095W
YER180C,"[(549724, 550527)]",chrV,-,YER180C
YER180C-A,"[(550865, 551122)]",chrV,-,YER180C-A
YER181C,"[(551473, 551796)]",chrV,-,YER181C
YER182W,"[(552525, 553259)]",chrV,+,YER182W
YER183C,"[(553334, 553969)]",chrV,-,YER183C
YER184C,"[(556296, 558680)]",chrV,-,YER184C
YER185W,"[(559454, 560365)]",chrV,+,YGR213C
YER186C,"[(561705, 562625)]",chrV,-,YER186C
YER187W,"[(566230, 566655)]",chrV,+,YER187W
YER188C-A,"[(569608, 569907)]",chrV,-,YER188C-A
YER188W,"[(568040, 568759)]",chrV,+,YER188W
YER189W,"[(571155, 571523)]",chrV,+,YPR202W
YER190C-A,"[(574804, 575379)]",chrV,-,YFL067W
YER190C-B,"[(575680, 576162)]",chrV,-,YEL077W-A
YER190W,"[(571480, 576525)]",chrV,+,YPR202W
YFL001W,"[(147131, 148459)]",chrVI,+,YFL001W
YFL002C,"[(145114, 146934)]",chrVI,-,YDL031W
YFL002W-A,"[(138204, 139496), (139498, 143517)]",chrVI,+,YFL002W-A
YFL002W-B,"[(138204, 139520)]",chrVI,+,YFL002W-B
YFL003C,"[(134521, 137157)]",chrVI,-,YOL090W
YFL004W,"[(131810, 134296)]",chrVI,+,YJL012C
YFL005W,"[(130334, 130981)]",chrVI,+,YFL005W
YFL007W,"[(123479, 129910)]",chrVI,+,YFL007W
YFL008W,"[(119429, 123106)]",chrVI,+,YJL074C
YFL009W,"[(116145, 118484)]",chrVI,+,YIL046W
YFL010C,"[(115108, 115743)]",chrVI,-,YFL010C
YFL010W-A,"[(114990, 115274)]",chrVI,+,YFL010W-A
YFL011W,"[(112345, 113985)]",chrVI,+,YDL247W
YFL012W,"[(110647, 111093)]",chrVI,+,YFL012W
YFL012W-A,"[(109810, 110184)]",chrVI,+,YFL012W-A
YFL013C,"[(107852, 109930)]",chrVI,-,YFL013C
YFL013W-A,"[(107799, 108602)]",chrVI,+,YFL013W-A
YFL014W,"[(107256, 107585)]",chrVI,+,YFL014W
YFL015C,"[(106469, 106963)]",chrVI,-,YFL015C
YFL015W-A,"[(106415, 106732)]",chrVI,+,YFL015W-A
YFL016C,"[(104701, 106236)]",chrVI,-,YFL016C
YFL017C,"[(103983, 104462)]",chrVI,-,YFL017C
YFL017W-A,"[(103699, 103932)]",chrVI,+,YFL017W-A
YFL018C,"[(101628, 103127)]",chrVI,-,YPL017C
YFL019C,"[(100252, 100605)]",chrVI,-,YFL019C
YFL020C,"[(99231, 99599)]",chrVI,-,YIL011W
YFL021C-A,"[(95761, 96615)]",chrVI,-,YFL021C-A
YFL021W,"[(95966, 97498)]",chrVI,+,YFL021W
YFL022C,"[(93499, 95010)]",chrVI,-,YIL096C
YFL023W,"[(90986, 93376)]",chrVI,+,YFL023W
YFL024C,"[(87847, 90345)]",chrVI,-,YFL024C
YFL025C,"[(84145, 87234)]",chrVI,-,YFL025C
YFL026W,"[(82580, 83875)]",chrVI,+,YFL026W
YFL027C,"[(80419, 81912)]",chrVI,-,YFL027C
YFL028C,"[(79344, 80213)]",chrVI,-,YFL028C
YFL029C,"[(78055, 79161)]",chrVI,-,YDL108W
YFL030W,"[(76831, 77988)]",chrVI,+,YFL030W
YFL031C-A,"[(76014, 76115)]",chrVI,-,YFL031C-A
YFL031W,"[(75179, 75839), (76092, 76147)]",chrVI,+,YFL031W
YFL032W,"[(74872, 75192)]",chrVI,+,YFL032W
YFL033C,"[(69115, 74427)]",chrVI,-,YGR092W
YFL034C-A,"[(64243, 64599), (64921, 64932)]",chrVI,-,YLR061W
YFL034C-B,"[(63016, 63859), (63974, 63993)]",chrVI,-,YFL034C-B
YFL034W,"[(65477, 68698)]",chrVI,+,YFL034W
YFL036W,"[(58782, 62837)]",chrVI,+,YFL036W
YFL037W,"[(56336, 57709)]",chrVI,+,YML124C
YFL038C,"[(55366, 55986)]",chrVI,-,YFL005W
YFL039C,"[(53260, 54377), (54687, 54696)]",chrVI,-,YLR085C
YFL040W,"[(51350, 52972)]",chrVI,+,YFL040W
YFL041W,"[(49139, 51007)]",chrVI,+,YFL041W
YFL041W-A,"[(48734, 48925)]",chrVI,+,YFL041W-A
YFL042C,"[(45720, 47744)]",chrVI,-,YDR326C
YFL044C,"[(44655, 45560)]",chrVI,-,YFL044C
YFL045C,"[(43628, 44392)]",chrVI,-,YFL045C
YFL046W,"[(42815, 43438)]",chrVI,+,YFL046W
YFL047W,"[(40421, 42565)]",chrVI,+,YFL047W
YFL048C,"[(38843, 40180)]",chrVI,-,YFL048C
YFL049W,"[(36803, 38674)]",chrVI,+,YFL049W
YFL050C,"[(33272, 35848)]",chrVI,-,YOL130W
YFL051C,"[(30058, 30540)]",chrVI,-,YFL051C
YFL052W,"[(28232, 29629)]",chrVI,+,YPR196W
YFL053W,"[(23423, 25198)]",chrVI,+,YML070W
YFL054C,"[(20847, 22787)]",chrVI,-,YPR192W
YFL055W,"[(17004, 18680)]",chrVI,+,YFL055W
YFL058W,"[(12929, 13951)]",chrVI,+,YNL332W
YFL059W,"[(11363, 12259)]",chrVI,+,YFL059W
YFL060C,"[(10301, 10969)]",chrVI,-,YMR095C
YFL061W,"[(9545, 10222)]",chrVI,+,YFL061W
YFL062W,"[(6426, 7565)]",chrVI,+,YHL042W
YFL063W,"[(5066, 5521)]",chrVI,+,YER188C-A
YFL064C,"[(3322, 3846)]",chrVI,-,YPR202W
YFL065C,"[(3030, 3338)]",chrVI,-,YLR464W
YFL066C,"[(1437, 2615)]",chrVI,-,YPR202W
YFL067W,"[(836, 1363)]",chrVI,+,YFL067W
YFR001W,"[(149110, 149724)]",chrVI,+,YFR001W
YFR002W,"[(150016, 152535)]",chrVI,+,YFR002W
YFR003C,"[(152657, 153124)]",chrVI,-,YFR003C
YFR004W,"[(153393, 154313)]",chrVI,+,YFR004W
YFR005C,"[(154527, 155873)]",chrVI,-,YER151C
YFR006W,"[(156145, 157752)]",chrVI,+,YER078C
YFR007W,"[(159299, 160360)]",chrVI,+,YFR007W
YFR008W,"[(160535, 161200)]",chrVI,+,YFR008W
YFR009W,"[(162488, 164746)]",chrVI,+,YNL014W
YFR009W-A,"[(163875, 164132)]",chrVI,+,YFR009W-A
YFR010W,"[(165067, 166566)]",chrVI,+,YER151C
YFR010W-A,"[(166728, 166916)]",chrVI,+,YFR010W-A
YFR011C,"[(166746, 167258)]",chrVI,-,YFR011C
YFR012W,"[(167888, 168496)]",chrVI,+,YFR012W
YFR012W-A,"[(169224, 169310)]",chrVI,+,YFR012W-A
YFR013W,"[(169922, 172285)]",chrVI,+,YOL017W
YFR014C,"[(172537, 173877)]",chrVI,-,YGL179C
YFR015C,"[(174265, 176391)]",chrVI,-,YFR015C
YFR016C,"[(177042, 180743)]",chrVI,-,YFR016C
YFR017C,"[(182274, 182861)]",chrVI,-,YFR017C
YFR018C,"[(183131, 184222)]",chrVI,-,YFR018C
YFR019W,"[(184502, 191338)]",chrVI,+,YDL143W
YFR020W,"[(192737, 193435)]",chrVI,+,YFR020W
YFR021W,"[(194812, 196314)]",chrVI,+,YGR223C
YFR022W,"[(196833, 199034)]",chrVI,+,YPR030W
YFR023W,"[(199874, 201709)]",chrVI,+,YHR015W
YFR024C-A,"[(201960, 203292), (203387, 203433)]",chrVI,-,YFR024C-A
YFR025C,"[(203743, 204750)]",chrVI,-,YFR025C
YFR026C,"[(205748, 206257)]",chrVI,-,YFR026C
YFR027W,"[(207452, 208297)]",chrVI,+,YOR346W
YFR028C,"[(208413, 210068)]",chrVI,-,YFR028C
YFR029W,"[(210937, 212973)]",chrVI,+,YFR029W
YFR030W,"[(213312, 216419)]",chrVI,+,YFR030W
YFR031C,"[(216594, 220106)]",chrVI,-,YJL074C
YFR031C-A,"[(220507, 221267), (221415, 221418)]",chrVI,-,YEL050C
YFR032C,"[(222090, 222959)]",chrVI,-,YFR032C
YFR032C-A,"[(223258, 223437)]",chrVI,-,YFR032C-A
YFR032C-B,"[(223710, 223973)]",chrVI,-,YFR032C-B
YFR033C,"[(224326, 224769)]",chrVI,-,YFR033C
YFR034C,"[(225020, 225958)]",chrVI,-,YFR034C
YFR034W-A,"[(226022, 226309)]",chrVI,+,YFR034W-A
YFR035C,"[(226121, 226465)]",chrVI,-,YFR035C
YFR035W-A,"[(226260, 226550)]",chrVI,+,YFR035W-A
YFR036W,"[(226963, 227337)]",chrVI,+,YFR036W
YFR036W-A,"[(227451, 228101)]",chrVI,+,YFR036W-A
YFR037C,"[(227513, 229186)]",chrVI,-,YFR037C
YFR038W,"[(229380, 231941)]",chrVI,+,YPL082C
YFR039C,"[(232012, 233544)]",chrVI,-,YFR039C
YFR040W,"[(234242, 237250)]",chrVI,+,YJL098W
YFR041C,"[(237368, 238255)]",chrVI,-,YFR041C
YFR042W,"[(238458, 239060)]",chrVI,+,YFR042W
YFR043C,"[(239114, 239827)]",chrVI,-,YFR043C
YFR044C,"[(239992, 241437)]",chrVI,-,YFR044C
YFR045W,"[(241998, 242009), (242082, 242999)]",chrVI,+,YFR045W
YFR046C,"[(243074, 244159)]",chrVI,-,YFR046C
YFR047C,"[(244279, 245166)]",chrVI,-,YFR047C
YFR048W,"[(246146, 248134)]",chrVI,+,YDL001W
YFR049W,"[(248523, 248894)]",chrVI,+,YFR049W
YFR050C,"[(249066, 249866)]",chrVI,-,YGR253C
YFR051C,"[(250163, 251803)]",chrVI,-,YFR051C
YFR052C-A,"[(253429, 253734)]",chrVI,-,YFR052C-A
YFR052W,"[(252505, 253329)]",chrVI,+,YFR052W
YFR053C,"[(253592, 255049)]",chrVI,-,YLR446W
YFR054C,"[(258855, 259433)]",chrVI,-,YFR054C
YFR055W,"[(264204, 265226)]",chrVI,+,YFR055W
YFR056C,"[(263957, 264325)]",chrVI,-,YFR056C
YFR057W,"[(269061, 269516)]",chrVI,+,YFR057W
YGL001C,"[(495453, 496502)]",chrVII,-,YGL001C
YGL002W,"[(494517, 495167)]",chrVII,+,YAL007C
YGL003C,"[(492474, 494174)]",chrVII,-,YGR225W
YGL004C,"[(490703, 491956)]",chrVII,-,YGL004C
YGL005C,"[(489708, 490547)]",chrVII,-,YGL005C
YGL006W,"[(485921, 489442)]",chrVII,+,YGL006W
YGL006W-A,"[(485423, 485533)]",chrVII,+,YGL006W-A
YGL007C-A,"[(482941, 483027)]",chrVII,-,YGL007C-A
YGL007W,"[(483260, 483637)]",chrVII,+,YGL007W
YGL008C,"[(479910, 482666)]",chrVII,-,YPL036W
YGL009C,"[(476313, 478652)]",chrVII,-,YGL009C
YGL010W,"[(475545, 476069)]",chrVII,+,YGL010W
YGL011C,"[(474489, 475247)]",chrVII,-,YGR253C
YGL012W,"[(472855, 474276)]",chrVII,+,YNL280C
YGL013C,"[(469092, 472298)]",chrVII,-,YER184C
YGL014C-A,"[(466237, 466398)]",chrVII,-,YGL014C-A
YGL014W,"[(466141, 468807)]",chrVII,+,YGL014W
YGL015C,"[(465043, 465435)]",chrVII,-,YGL015C
YGL016W,"[(461666, 464911)]",chrVII,+,YGL016W
YGL017W,"[(459854, 461365)]",chrVII,+,YGL017W
YGL018C,"[(459110, 459664)]",chrVII,-,YGL018C
YGL019W,"[(458156, 458992)]",chrVII,+,YGL019W
YGL020C,"[(457163, 457870)]",chrVII,-,YGL020C
YGL021W,"[(454785, 457067)]",chrVII,+,YBL009W
YGL022W,"[(452404, 454560)]",chrVII,+,YDL136W
YGL023C,"[(450197, 452104)]",chrVII,-,YGL023C
YGL024W,"[(449788, 450123)]",chrVII,+,YGL024W
YGL025C,"[(448764, 449957)]",chrVII,-,YGL025C
YGL026C,"[(446412, 448535)]",chrVII,-,YGL026C
YGL027C,"[(443642, 446143)]",chrVII,-,YGL027C
YGL028C,"[(441281, 442909)]",chrVII,-,YGR282C
YGL029W,"[(440063, 440425)]",chrVII,+,YGL029W
YGL030W,"[(439091, 439093), (439324, 439638)]",chrVII,+,YGL030W
YGL031C,"[(437467, 437934)]",chrVII,-,YLR009W
YGL032C,"[(436570, 436833)]",chrVII,-,YGL032C
YGL033W,"[(435625, 435679), (435750, 436312), (436375, 436401)]",chrVII,+,YGL033W
YGL034C,"[(433214, 433579)]",chrVII,-,YGL034C
YGL035C,"[(431548, 433062)]",chrVII,-,YGL209W
YGL036W,"[(428601, 431330)]",chrVII,+,YGL036W
YGL037C,"[(427297, 427947)]",chrVII,-,YGL037C
YGL038C,"[(425362, 426804)]",chrVII,-,YJR075W
YGL039W,"[(423961, 425007)]",chrVII,+,YGL001C
YGL040C,"[(419527, 420555)]",chrVII,-,YGL040C
YGL041C,"[(419022, 419225)]",chrVII,-,YGL041C
YGL041C-B,"[(418704, 418886)]",chrVII,-,YGL041C-B
YGL041W-A,"[(418825, 419289)]",chrVII,+,YGL041W-A
YGL042C,"[(418288, 418593)]",chrVII,-,YGL042C
YGL043W,"[(417483, 418412)]",chrVII,+,YGL043W
YGL044C,"[(416146, 417036)]",chrVII,-,YIR005W
YGL045W,"[(414102, 415730)]",chrVII,+,YGL045W
YGL047W,"[(411552, 412160)]",chrVII,+,YGL047W
YGL048C,"[(410069, 411286)]",chrVII,-,YGL048C
YGL049C,"[(406860, 409604)]",chrVII,-,YGL049C
YGL050W,"[(405776, 406597)]",chrVII,+,YHR070W
YGL051W,"[(403687, 404391)]",chrVII,+,YHL044W
YGL052W,"[(403437, 403742)]",chrVII,+,YGL052W
YGL053W,"[(402589, 403302)]",chrVII,+,YHL044W
YGL054C,"[(400871, 401287)]",chrVII,-,YIL083C
YGL055W,"[(398628, 400160)]",chrVII,+,YGL055W
YGL056C,"[(396035, 397618)]",chrVII,-,YGL115W
YGL057C,"[(394966, 395829)]",chrVII,-,YGL057C
YGL058W,"[(393986, 394504)]",chrVII,+,YDR177W
YGL059W,"[(392223, 393698)]",chrVII,+,YGL059W
YGL060W,"[(390065, 391990)]",chrVII,+,YGL060W
YGL061C,"[(388968, 389711)]",chrVII,-,YGL061C
YGL062W,"[(385196, 388732)]",chrVII,+,YNR016C
YGL063C-A,"[(384502, 384651)]",chrVII,-,YGL063C-A
YGL063W,"[(383654, 384766)]",chrVII,+,YFL001W
YGL064C,"[(381523, 383208)]",chrVII,-,YDL031W
YGL065C,"[(379760, 381271)]",chrVII,-,YGL065C
YGL066W,"[(377609, 379582)]",chrVII,+,YGL066W
YGL067W,"[(376101, 377255)]",chrVII,+,YGL067W
YGL068W,"[(375087, 375671)]",chrVII,+,YGL068W
YGL069C,"[(375050, 375514)]",chrVII,-,YGL069C
YGL070C,"[(374459, 374827)]",chrVII,-,YGL070C
YGL071W,"[(372012, 374084)]",chrVII,+,YGL071W
YGL072C,"[(371003, 371362)]",chrVII,-,YGL072C
YGL073W,"[(368753, 371254)]",chrVII,+,YJR147W
YGL074C,"[(368596, 368922)]",chrVII,-,YGL074C
YGL075C,"[(366925, 368088)]",chrVII,-,YGL075C
YGL076C,"[(364335, 364964), (365433, 365526), (365986, 365996)]",chrVII,-,YNL002C
YGL077C,"[(362225, 363916)]",chrVII,-,YGL077C
YGL078C,"[(360288, 361859)]",chrVII,-,YGL078C
YGL079W,"[(359444, 360100)]",chrVII,+,YGL079W
YGL080W,"[(358636, 359028)]",chrVII,+,YHR162W
YGL081W,"[(357377, 358339)]",chrVII,+,YGL081W
YGL082W,"[(355827, 356972)]",chrVII,+,YPL191C
YGL083W,"[(353058, 355472)]",chrVII,+,YGL083W
YGL084C,"[(350616, 352298)]",chrVII,-,YPL189W
YGL085W,"[(349616, 350440)]",chrVII,+,YGL085W
YGL086W,"[(347119, 349368)]",chrVII,+,YGL086W
YGL087C,"[(346406, 346808), (346894, 346904)]",chrVII,-,YGL087C
YGL088W,"[(345836, 346201)]",chrVII,+,YGL088W
YGL089C,"[(344791, 345153)]",chrVII,-,YGL089C
YGL090W,"[(343319, 344584)]",chrVII,+,YGL090W
YGL091C,"[(342056, 343042)]",chrVII,-,YIL003W
YGL092W,"[(337906, 341859)]",chrVII,+,YGL092W
YGL093W,"[(334886, 337639)]",chrVII,+,YGL093W
YGL094C,"[(331118, 334465)]",chrVII,-,YGL094C
YGL095C,"[(328874, 330607)]",chrVII,-,YDR164C
YGL096W,"[(325331, 326161)]",chrVII,+,YPL177C
YGL097W,"[(321782, 323230)]",chrVII,+,YLR077W
YGL098W,"[(317342, 318079)]",chrVII,+,YGL098W
YGL099W,"[(314631, 316553)]",chrVII,+,YGL099W
YGL100W,"[(313234, 314283)]",chrVII,+,YLR208W
YGL101W,"[(312193, 312840)]",chrVII,+,YGL101W
YGL102C,"[(311505, 311933)]",chrVII,-,YGL102C
YGL103W,"[(310967, 311015), (311527, 311927)]",chrVII,+,YGL103W
YGL104C,"[(308713, 310173)]",chrVII,-,YDL247W
YGL105W,"[(307437, 308567)]",chrVII,+,YGL105W
YGL106W,"[(306560, 307009)]",chrVII,+,YGL106W
YGL107C,"[(304333, 306273)]",chrVII,-,YBR238C
YGL108C,"[(303649, 304071)]",chrVII,-,YGL108C
YGL109W,"[(303513, 303836)]",chrVII,+,YGL109W
YGL110C,"[(301537, 303411)]",chrVII,-,YGL110C
YGL111W,"[(299978, 301369)]",chrVII,+,YGL111W
YGL112C,"[(298178, 299728)]",chrVII,-,YGL112C
YGL113W,"[(295932, 297938)]",chrVII,+,YGL113W
YGL114W,"[(293460, 295637)]",chrVII,+,YGL114W
YGL115W,"[(292033, 293001)]",chrVII,+,YGL115W
YGL116W,"[(289809, 291641)]",chrVII,+,YGR225W
YGL117W,"[(288512, 289309)]",chrVII,+,YGL117W
YGL118C,"[(288014, 288451)]",chrVII,-,YGL118C
YGL119W,"[(284442, 285947)]",chrVII,+,YPL109C
YGL120C,"[(281634, 283937)]",chrVII,-,YKR086W
YGL121C,"[(280777, 281157)]",chrVII,-,YGL121C
YGL122C,"[(278946, 280523)]",chrVII,-,YGL122C
YGL123C-A,"[(277634, 277864)]",chrVII,-,YGL123C-A
YGL123W,"[(277617, 278381)]",chrVII,+,YGL123W
YGL124C,"[(274780, 276714)]",chrVII,-,YGL124C
YGL125W,"[(272520, 274322)]",chrVII,+,YGL125W
YGL126W,"[(270997, 272139)]",chrVII,+,YGL126W
YGL127C,"[(270392, 270775)]",chrVII,-,YGL127C
YGL128C,"[(269293, 270144)]",chrVII,-,YGL128C
YGL129C,"[(267723, 269075)]",chrVII,-,YGL129C
YGL130W,"[(266145, 267524)]",chrVII,+,YGL130W
YGL131C,"[(261648, 265859)]",chrVII,-,YGL131C
YGL132W,"[(261580, 261915)]",chrVII,+,YGL132W
YGL133W,"[(257707, 261501)]",chrVII,+,YPL216W
YGL134W,"[(255663, 256964)]",chrVII,+,YGL215W
YGL135W,"[(254641, 255294)]",chrVII,+,YDL208W
YGL136C,"[(252897, 253859)]",chrVII,-,YGL136C
YGL137W,"[(249869, 249886), (250087, 252738)]",chrVII,+,YGL137W
YGL138C,"[(248494, 249531)]",chrVII,-,YGL138C
YGL139W,"[(245716, 248124)]",chrVII,+,YPL221W
YGL140C,"[(241353, 245012)]",chrVII,-,YGL140C
YGL141W,"[(238353, 241085)]",chrVII,+,YJR036C
YGL142C,"[(236269, 238119)]",chrVII,-,YNL219C
YGL143C,"[(234717, 235958)]",chrVII,-,YGL143C
YGL144C,"[(232450, 234507)]",chrVII,-,YDL109C
YGL145W,"[(230243, 232348)]",chrVII,+,YGL145W
YGL146C,"[(228751, 229686)]",chrVII,-,YGL146C
YGL147C,"[(227754, 228329)]",chrVII,-,YHR147C
YGL148W,"[(226399, 227529)]",chrVII,+,YGL148W
YGL149W,"[(225572, 225877)]",chrVII,+,YGL149W
YGL150C,"[(221104, 225573)]",chrVII,-,YPL082C
YGL151W,"[(217524, 220922)]",chrVII,+,YGL151W
YGL152C,"[(216692, 217369)]",chrVII,-,YGL152C
YGL153W,"[(216273, 217298)]",chrVII,+,YGL153W
YGL154C,"[(215278, 216096)]",chrVII,-,YGL154C
YGL155W,"[(214081, 215211)]",chrVII,+,YDL090C
YGL156W,"[(210416, 213667)]",chrVII,+,YGL156W
YGL157W,"[(209006, 210049)]",chrVII,+,YGL001C
YGL158W,"[(207033, 208571)]",chrVII,+,YGL179C
YGL159W,"[(202721, 203833)]",chrVII,+,YGL159W
YGL160W,"[(200561, 202273)]",chrVII,+,YGL160W
YGL161C,"[(199210, 200142)]",chrVII,-,YGL161C
YGL162W,"[(198138, 199037)]",chrVII,+,YGL162W
YGL163C,"[(193707, 196403)]",chrVII,-,YPL082C
YGL164C,"[(191978, 193300)]",chrVII,-,YGL164C
YGL165C,"[(191398, 191976)]",chrVII,-,YGL165C
YGL166W,"[(191129, 191806)]",chrVII,+,YPR008W
YGL167C,"[(187616, 190468)]",chrVII,-,YPL036W
YGL168W,"[(187464, 187796)]",chrVII,+,YGL168W
YGL169W,"[(186059, 187339)]",chrVII,+,YGL169W
YGL170C,"[(184153, 185394)]",chrVII,-,YGL170C
YGL171W,"[(182390, 184084)]",chrVII,+,YDL031W
YGL172W,"[(180700, 182118)]",chrVII,+,YGL172W
YGL173C,"[(175527, 180113)]",chrVII,-,YGL173C
YGL174W,"[(174545, 175345)]",chrVII,+,YGL174W
YGL175C,"[(173285, 174322)]",chrVII,-,YGL175C
YGL176C,"[(171415, 173079)]",chrVII,-,YGL176C
YGL177W,"[(167559, 167906)]",chrVII,+,YGL177W
YGL178W,"[(167352, 167354), (167995, 170571)]",chrVII,+,YGL178W
YGL179C,"[(163409, 165091)]",chrVII,-,YGL179C
YGL180W,"[(160065, 162758)]",chrVII,+,YGL180W
YGL181W,"[(157906, 159096)]",chrVII,+,YGL181W
YGL182C,"[(157273, 157596)]",chrVII,-,YGL182C
YGL183C,"[(156543, 157199), (157283, 157285)]",chrVII,-,YGL183C
YGL184C,"[(154615, 156012)]",chrVII,-,YGL184C
YGL185C,"[(153167, 154306)]",chrVII,-,YNL274C
YGL186C,"[(151037, 152776)]",chrVII,-,YER056C
YGL187C,"[(149704, 150171)]",chrVII,-,YGL187C
YGL188C,"[(149343, 149516)]",chrVII,-,YGL188C
YGL188C-A,"[(148824, 148964)]",chrVII,-,YGL188C-A
YGL189C,"[(148229, 148588)]",chrVII,-,YGL189C
YGL190C,"[(145809, 147389)]",chrVII,-,YGL190C
YGL191W,"[(144808, 145197)]",chrVII,+,YGL191W
YGL192W,"[(142246, 144048)]",chrVII,+,YGL192W
YGL193C,"[(141916, 142227)]",chrVII,-,YGL193C
YGL194C,"[(140368, 141726)]",chrVII,-,YNL021W
YGL194C-A,"[(139719, 139961)]",chrVII,-,YGL194C-A
YGL195W,"[(131525, 139543)]",chrVII,+,YGL195W
YGL196W,"[(129883, 131169)]",chrVII,+,YGL196W
YGL197W,"[(124698, 129161)]",chrVII,+,YER132C
YGL198W,"[(123591, 124298)]",chrVII,+,YGL198W
YGL199C,"[(123572, 124042)]",chrVII,-,YGL199C
YGL200C,"[(122694, 123305)]",chrVII,-,YAL007C
YGL201C,"[(117854, 120907)]",chrVII,-,YPR019W
YGL202W,"[(116059, 117561)]",chrVII,+,YGL202W
YGL203C,"[(112475, 114664)]",chrVII,-,YGL203C
YGL204C,"[(111700, 112005)]",chrVII,-,YGL204C
YGL205W,"[(108158, 110404)]",chrVII,+,YGL205W
YGL206C,"[(102543, 107504)]",chrVII,-,YGL206C
YGL207W,"[(98969, 102076)]",chrVII,+,YGL207W
YGL208W,"[(97338, 98585)]",chrVII,+,YGL208W
YGL209W,"[(95858, 97006)]",chrVII,+,YGL209W
YGL210W,"[(93792, 94460)]",chrVII,+,YFL005W
YGL211W,"[(92512, 93591)]",chrVII,+,YGL211W
YGL212W,"[(91432, 92382)]",chrVII,+,YGL212W
YGL213C,"[(90054, 91247)]",chrVII,-,YGL213C
YGL214W,"[(90010, 90495)]",chrVII,+,YGL214W
YGL215W,"[(87981, 89339)]",chrVII,+,YGL215W
YGL216W,"[(84885, 87302)]",chrVII,+,YGL216W
YGL217C,"[(84839, 85180)]",chrVII,-,YGL217C
YGL218W,"[(83650, 84300)]",chrVII,+,YGL218W
YGL219C,"[(82878, 84257)]",chrVII,-,YGL219C
YGL220W,"[(82374, 82736)]",chrVII,+,YAL044W-A
YGL221C,"[(81426, 82292)]",chrVII,-,YGL221C
YGL222C,"[(80659, 81186)]",chrVII,-,YGL222C
YGL223C,"[(79112, 80365)]",chrVII,-,YGL223C
YGL224C,"[(78015, 78857)]",chrVII,-,YER037W
YGL225W,"[(76894, 77907)]",chrVII,+,YER039C
YGL226C-A,"[(72749, 72988), (73138, 73158)]",chrVII,-,YGL226C-A
YGL226W,"[(73340, 73711)]",chrVII,+,YGL226W
YGL227W,"[(69671, 72547)]",chrVII,+,YMR171C
YGL228W,"[(67598, 69331)]",chrVII,+,YFR039C
YGL229C,"[(64503, 66959)]",chrVII,-,YJL098W
YGL230C,"[(63772, 64215)]",chrVII,-,YGL230C
YGL231C,"[(63048, 63620)]",chrVII,-,YGL231C
YGL232W,"[(62075, 62131), (62190, 63002)]",chrVII,+,YGL232W
YGL233W,"[(59122, 61854)]",chrVII,+,YGL233W
YGL234W,"[(56482, 58890)]",chrVII,+,YGL234W
YGL235W,"[(55279, 55815)]",chrVII,+,YGL235W
YGL236C,"[(53787, 55796)]",chrVII,-,YGL236C
YGL237C,"[(52731, 53528)]",chrVII,-,YGL237C
YGL238W,"[(49552, 52434)]",chrVII,+,YGL241W
YGL239C,"[(49431, 49745)]",chrVII,-,YGL239C
YGL240W,"[(48613, 49365)]",chrVII,+,YGL240W
YGL241W,"[(45445, 48459)]",chrVII,+,YGL241W
YGL242C,"[(44652, 45197)]",chrVII,-,YGL242C
YGL243W,"[(43307, 44509)]",chrVII,+,YGL243W
YGL244W,"[(41498, 43174)]",chrVII,+,YGL244W
YGL245W,"[(39023, 41149)]",chrVII,+,YOR168W
YGL246C,"[(37617, 38780)]",chrVII,-,YGL246C
YGL247W,"[(36933, 37526)]",chrVII,+,YGL247W
YGL248W,"[(35653, 36762)]",chrVII,+,YGL248W
YGL249W,"[(33098, 35212)]",chrVII,+,YGL249W
YGL250W,"[(31910, 32635)]",chrVII,+,YGL250W
YGL251C,"[(27921, 31426), (31579, 31636)]",chrVII,-,YGR271W
YGL252C,"[(25718, 27484)]",chrVII,-,YGL252C
YGL253W,"[(23935, 25395)]",chrVII,+,YLR446W
YGL254W,"[(22304, 23203)]",chrVII,+,YGL254W
YGL255W,"[(20978, 22108)]",chrVII,+,YGL255W
YGL256W,"[(15159, 16307)]",chrVII,+,YGL256W
YGL257C,"[(12481, 14157)]",chrVII,-,YGL257C
YGL258W,"[(11110, 11730)]",chrVII,+,YGL258W
